,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,star_point,blog_review_qty,blog_review_text
12909,타이거슈가,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56407608,126.9845563,타이거슈가 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20타이거슈가,https://m.place.naver.com/restaurant/1150268111,4.29,64,"[<span class=""WoYOw"">항상 최선을 다해 정성껏모시겟습니다 딸기봉봉과 다양한봉봉을 더욱

신선하고 알차게 준비하겟습니다</span>]"
13007,락희옥,분식,국수/만두/칼국수,분식 및 김밥 전문점,명동,37.56841029,126.9762339,락희옥 분식 국수 만두 칼국수 분식 및 김밥 전문점,명동%20락희옥,https://m.place.naver.com/restaurant/36620601,4.33,5,"[<span class=""WoYOw"">타이거슈가의 특제 흑당은 대만산 사탕수수의 자즙을 완벽한 비율로 볶아냅니다. 더욱 건강하고 부담없는 달콤한 타이거슈가 흑당밀크티가 완벽해 질 수 있었던 이유! 1. 무방부제 타피오카 2. 100% 국내산 A급 우유 3. 유럽 정통의 독일제 프리미
엄크림 4. 4시간마다 새로 끓여 낸 부드럽고 쫄깃한 버블 (보바/쩐주) 5. 자체 제작한 완벽한 흑당 시럽으로 완벽한 맛과 비주얼 선사 전 세계의 타이거슈가는 체계적이고 전문적 레시피 공유와 맛의 획일성을 위해 대만 현지방문을 통한 본사의 트레이닝을 
받고 있습니다. 대만, 홍콩, 싱가폴 등에서 줄서서 먹는 타이거슈가! 이제 한국에서 편하게 즐기세요:)</span>]"
13106,투썸플레이스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56125355,126.9853416,투썸플레이스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20투썸플레이스,https://m.place.naver.com/restaurant/36948845,4.38,277,"[<span class=""WoYOw"">""콜키지프리 모던 한식주점"" 마포 본점, 을지로점, 광화문 점 세 곳에서 락희옥의 맛과 멋을 즐기실 수 있습니다.  락희옥은 '즐거움과 기쁨이 있는 집'이라는 뜻입니다. 누구나 편안하고 기분 좋게 마실만한 곳 하면 떠오르는 곳, 애주가도 미식가도 만족하는 곳
이 락희옥이 만들어가고 싶은 한식주점의 모습입니다.  다양한 한식 메뉴에 와인,크래프트 맥주 등 주류 메뉴도 풍성합니다. 온갖 술을 사랑하는 주당인 사장이 운영하는 곳이기에 애주가들을위해 개업 초기부터 콜키지프리 정책도 시행하고 있습니다. 그래서 메뉴들
도 술을 부르는 안주 겸 식사로 꾸몄습니다. 배부르지만 술 한잔하러 온 손님, 배가 고파서 식사부터 해결하려는 손님, 해장하러 온 손님, 회식하러 온 손님 각각에 맞춘 메뉴를 가격대별로 구성하고 있습니다. 따라서 락희옥의 메뉴는 안주부터 일...</span>]"
13719,동해일식,일식/수산물,음식점-일식,일식 음식점업,명동,37.56562662,126.9794188,동해일식 일식 수산물 음식점-일식 일식 음식점업,명동%20동해일식,https://m.place.naver.com/restaurant/18687708,4.38,64,"[<span class=""WoYOw"">안녕하세요 투썸플레이스 서울시청점입니다 네이버오더 가능합니다 일부 홀케익은 판매가와 다를 수 있으며, 재고부족시 자동취소됨을 알려드립니다. 홀케이크주문시 픽업시간을 상세히 기재해주세요. 픽업(예약) 시간이 없을경우 자동취소됨을 알려드립니다. ****네이버오더 결제시, 투썸하트 적립은 불가하며, 취소 후 매장 현장결제가 불가합니다. 신중한 선택 및 결제 부탁드립니다. ****</span>]"
13751,79네수육국밥&보쌈,한식,족발/보쌈전문,한식 음식점업,명동,37.56713039,126.9803492,79네수육국밥&보쌈 한식 족발 보쌈전문 한식 음식점업,명동%2079네수육국밥&보쌈,https://m.place.naver.com/restaurant/1804940007,4.21,5,[]
13936,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56563319,126.9833126,스타벅스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스,https://m.place.naver.com/restaurant/1465848077,4.25,1,[]
13958,김연수해물나라,일식/수산물,해물찜/탕전문,한식 음식점업,명동,37.56785395,126.981709,김연수해물나라 일식 수산물 해물찜 탕전문 한식 음식점업,명동%20김연수해물나라,https://m.place.naver.com/restaurant/1354550725,4.46,27,"[<span class=""WoYOw"">주차불가능</span>]"
14885,가야삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,명동,37.56648865,126.9884967,가야삼계탕 닭 오리요리 삼계탕전문 한식 음식점업,명동%20가야삼계탕,https://m.place.naver.com/restaurant/11865428,4.48,74,[]
15253,버드더카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.55911035,126.9844426,버드더카페 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20버드더카페,https://m.place.naver.com/restaurant/1694673138,4.48,43,"[<span class=""WoYOw"">상표등록으로 인하여 (구)가야삼계탕에서 ""신라원삼계탕""으로 상호 변경되었습니다.
저희 ""신라원삼계탕""은 웰빙 보양식입니다. 한번 방문하시면 반드시 또 오실 거에요.</span>]"
15440,커피한약방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56656151,126.9885863,커피한약방 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피한약방,https://m.place.naver.com/restaurant/1614417324,4.32,77,"[<span class=""WoYOw"">유니크하고 고급스러운 디자인카페, 편안하고 감성적인 분위기가 바쁜 명동거리의 분위기에서 한발 벗어난 색다른 휴식의 즐거움으로 다가갈 것입니다.</span>]"
